director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,keywords
Michael Rymer,Omar Epps,Crime Drama Thriller,LL Cool J,in too deep,Nia Long,1568 6149 9672
Rob Zombie,Matthew McGrory,Horror,Sid Haig,house of 1000 corpses,Erin Daniels,213 3335 6259 9955 34117 161270
Sharron Miller,Elizabeth MacRae,Horror,Bernard Fox,alien zone,Charles Aidman,9738 9951 13031
Ethan Coen,Fred Melamed,Comedy Drama,Michael Stuhlbarg,a serious man,Peter Breitmayer,1360 1599 1992 3903 10123 10904 166287 179430 191440 208992 227994
Aaron Schneider,Robert Duvall,Drama Mystery,Bill Murray,get low,Bill Cobbs,4271 6335 160321 214548
Steve Miner,Richard E. Grant,Action Fantasy Horror Thriller,Julian Sands,warlock,Lori Singer,616 1227 2343 4379 4995 10541 157667 177900
Gina Prince-Bythewood,Nate Parker,Drama Music,Minnie Driver,beyond the lights,Darryl Stephens,2276 3490 3836 4048 157722 187056 240315
Tom Ford,Teddy Sears,Drama Romance,Colin Firth,a single man,Keri Lynn Pratt,818 11258 13095 41355 172291 208992 266959
Martin Scorsese,Barbara Hershey,Drama,Irvin Kershner,the last temptation of christ,Roberts Blossom,186 2052 3035 3571 4115 4690 10706 41511 162706 162708
Michael Corrente,George Wendt,Comedy Drama Romance,Jonathan Brandis,outside providence,Shawn Hatosy,236 738 3616 5713 6149 8039 8508 9673 9748 9856 9864 12105 13130 14964 33740 207819
Gurinder Chadha,Martin Henderson,Comedy Drama Musical Romance,Indira Varma,bride & prejudice,Anupam Kher,165212 177907 187056 266601
Phillip Noyce,David Gulpilil,Adventure Biography Drama History,Roy Billing,rabbit-proof fence,Deborah Mailman,380 516 3246 5657 6267 9672 10230 10349 157906 158217 193459 193760 209560 209619 210108 214548
Don Michael Paul,Faizon Love,Comedy Sport,Jeffrey Jones,who's your caddy?,Lil' Wayne,6075
Tony Maylam,Alun Armstrong,Action Crime Horror Sci-Fi Thriller,Michael J. Pollard,split second,Alastair Duncan,212 2439 3528 3688 4565 6305 9685 10714 12190 13031 15167 34117
Mitch Davis,Nathaniel Lees,Adventure Biography Drama,Anne Hathaway,the other side of heaven,Miriama Smith,
Yash Chopra,Preity Zinta,Drama Musical Romance,Shah Rukh Khan,veer-zaara,Anupam Kher,378 2038 3203 4034 4344 7021 14636 158512
David Mamet,Randy Couture,Drama Sport,Alice Braga,redbelt,Jose Pablo Cantillo,886 5824 6075 10188 13063 162257 162258 162262 162269 162271 162272 162275
Jay Duplass,Tim Guinee,Comedy Drama Romance,Matt Walsh,cyrus,Katie Aselton,171993
Kevin Brodie,Cheryl Ladd,Drama Family,Bruce McGill,a dog of flanders,Jack Warden,
Paul Schrader,Michael McKean,Biography Crime Drama,Ed Begley Jr.,auto focus,Kurt Fuller,445 596 818 1228 1326 1817 4656 5565 5906 9672 10561 187269 208992 262350
George Hickenlooper,Jimmy Fallon,Biography Drama,Hayden Christensen,factory girl,Beth Grant,242 567 1326 2679 2861 4434 5321 5565 6782 8508 9673 10229 14893 14964 156037 201973
Lynne Ramsay,Siobhan Fallon Hogan,Drama Thriller,Ezra Miller,we need to talk about kevin,Ashley Gerasimovich,818 1583 6981 7281 14632 14819 15025 17987 17989 187056 240237
John Stephenson,Hans Matheson,Drama Family,Samantha Barks,the christmas candle,Lesley Manville,290 2618 5331 15224 207317
Tim Chambers,Marley Shelton,Drama Sport,Ellen Burstyn,the mighty macs,Jennifer Butler,276 1228 6075 6496 8338 18396 34124 34125 34126 211140 233438
Curtis Hanson,Shelley Long,Comedy Drama Family,Tom Cruise,losin' it,Rick Rossovich,534 549 6270 10081 13130 208445
Rodrigo García,Jimmy Smits,Drama Romance,Naomi Watts,mother and child,Carla Gallo,970 2393 3725 8018 9838 178649
Dick Richards,Terence Hill,Adventure Drama Romance War,Catherine Deneuve,march or die,Jack O'Halloran,394 1629 2905 7041 11007 41586 173455 179568 207428 221136 234747
Jean-Marie Poiré,Isabelle Nanty,Comedy Fantasy Sci-Fi,Christian Clavier,les visiteurs,Valérie Lemercier,964 4379 5347 41406 177998
Sofia Coppola,Chris Pontius,Comedy Drama,Nathalie Fay,somewhere,Erin Wasson,2706 12670 182100 187056 240303
Bob Gosse,Susie Abromeit,Comedy,Geoff Stults,i hope they serve beer in hell,Derek Wayne Johnson,818 3230 3688 6593 6779 9672 10123 13027 157291 165547 185959 207795 225984
Alex Zamm,Raquel Welch,Comedy,Taylor Negron,chairman of the board,Larry Miller,1436 3338 3692
Spencer Susser,Natalie Portman,Drama,Joseph Gordon-Levitt,hesher,Rainn Wilson,697 1443 13046 13090 179431
Richard Shepard,Mark Wingett,Comedy Crime Drama,Richard E. Grant,dom hemingway,Richard Graham,9825 10594 162225
Thaddeus O'Sullivan,Luke Newberry,Drama Romance,Olivia Williams,the heart of me,Eleanor Bron,
Peter Sollett,Josh Charles,Biography Drama Romance,Steve Carell,freeheld,Luke Grimes,586 6090 9833 10163
Shari Springer Berman,Marian Seldes,Comedy,Lynn Cohen,the extra man,Dan Hedaya,10183 187056
Aleksey German,Yuriy Tsurilo,Drama Sci-Fi,Leonid Yarmolnik,hard to be a god,Valentin Golubenko,
Stephen Milburn Anderson,Mike Starr,Comedy Crime Thriller,Chris Hemsworth,ca$h,Paul Sanchez,10183 10594
Richard E. Grant,Julie Walters,Drama,Emily Watson,wah-wah,Miranda Richardson,596 879 7464 15160 208992 243459
Troy Duffy,David Della Rocco,Action Crime Thriller,Norman Reedus,the boondock saints,Bob Marley,1679 1680 7375 8045 11005 15321 159633 179431
David Lam,Louis Koo,Action Crime,Michael Wong,z storm,Stephen Au,
Francis Ford Coppola,Bruce Dern,Comedy Fantasy Horror Mystery,Alden Ehrenreich,twixt,Joanne Whalley,798 3133 6783 13028 155317 162846 207046
Vladlen Barbe,Wendee Lee,Adventure Animation Family,Erin Fitzgerald,snow queen,Ivan Okhlobystin,3205
Richard Rich,Kate Higgins,Action Adventure Animation Comedy Drama Family Fantasy Thriller,Debi Derryberry,alpha and omega 4: the legend of the saw toothed cave,Cindy Robinson,
Clint Eastwood,Chris Penn,Western,Clint Eastwood,pale rider,Sydney Penny,75 797 1502 1936 1960 3591 6816 9714 14819 15127 18072 189392 198141
Robert C. Cooper,Christopher Judge,Action Adventure Drama Fantasy Sci-Fi,Ben Browder,stargate: the ark of truth,Julian Sands,1612 3417 3801 9951 33637
Richard Linklater,Adam Goldberg,Comedy,Milla Jovovich,dazed and confused,Cole Hauser,1228 1556 6270 10683 10776 13088 13130 15060
Kenny Ortega,Corbin Bleu,Comedy Drama Family Music Musical Romance,Lucas Grabeel,high school musical 2,Olesya Rulin,4344 6027 13088 13130 163963 172466
Kim Nguyen,Justin Edward Seale,Drama Romance,Gordon Pinsent,two lovers and a bear,John Ralston,1415 4663 10468 34154
Jackie Earle Haley,Edi Gathegi,Crime Drama Thriller,Rex Baker,criminal activities,Travis Aaron Wade,11578 188259 192143 199093 210295 221004 236534
Max Färberböck,Johanna Wokalek,Biography Drama Romance War,Heike Makatsch,aimee & jaguar,Maria Schrader,220 1956 2652 3691 9833 15136 34215
Arie Posin,John Heard,Comedy Drama,Rory Culkin,the chumscrubber,Tim DeKay,236 387 970 3307 10183 33465 243973 247741
Damian Nieman,Jason Cerbone,Crime Thriller,Glenn Plummer,shade,Mark De Alessandro,
Mark Tonderai,Nolan Gerard Funk,Drama Horror Thriller,Jennifer Lawrence,house at the end of the street,Gil Bellows,970 3650 12090 14819 207691 226774
Denis Villeneuve,Mélissa Désormeaux-Poulin,Drama Mystery War,Lubna Azabal,incendies,Ahmad Massad,378 539 570 789 1550 2297 5153 6783 8181 14546 14547 14548 15016 41351
Gabriele Muccino,Silvio Muccino,Comedy Drama Romance,Laura Morante,"remember me, my love",Giulia Michelini,1664
Ian Fitzgibbon,Brendan Coyle,Action Comedy Crime Drama Romance Thriller,Jim Broadbent,perrier's bounty,Michael McElhatton,
José Padilha,Fernanda Machado,Action Crime Drama Thriller,Wagner Moura,elite squad,André Ramiro,100 796 983 1601 1809 2149 2231 7097 15218 163081
John R. Leonetti,Annabelle Wallis,Horror Mystery,Alfre Woodard,annabelle,Gabriel Bateman,9675 9707 10603 13153 15001 15285 33630 161261 162846 180691 187065 252103
Rachel Perkins,Magda Szubanski,Comedy Drama Musical,Deborah Mailman,bran nue dae,Jessica Mauboy,4344 187056
John Singleton,Lloyd Avery II,Crime Drama,John Cothran,boyz n the hood,Na'Blonka Durden,542 577 897 898 2394 3261 4562 7920 12670
Luis Valdez,Rosanna DeSoto,Biography Drama Music,Esai Morales,la bamba,Danielle von Zerneck,578 4344 5565 34079 164245 164246 164253 164255 164263 208611
Alan Alda,Len Cariou,Comedy Drama,Rita Moreno,the four seasons,Sandy Dennis,6876 15160
Brian De Palma,David Margulies,Mystery Romance Thriller,Angie Dickinson,dressed to kill,Nancy Allen,108 444 549 1552 1879 2864 2887 3030 3182 6025 6054 6093 9181 9826 10333 14819 15106 15271 33513 33720 34094 155440 158203 169815 188960 193282 193723 227035
Stephen Sommers,Frances Conroy,Adventure Comedy Drama Family,Curtis Armstrong,the adventures of huck finn,Anne Heche,818 170444 170450 170452 170457 170461 170465 170468
Doug Liman,Jay Mohr,Comedy Crime,Sarah Polley,go,Scott Wolf,
Nicole Holofcener,Marin Hinkle,Comedy Drama Romance,Greg Germann,friends with money,Jake Cherry,1599 6038 10594 13097 15160 15479 187056
Robert Wise,Paula Kelly,Sci-Fi Thriller,David Wayne,the andromeda strain,Eric Christmas,1432 1508 1865 1944 3288 4939 6013 6016 156767 156810
Louis Morneau,Bob Gunton,Horror Sci-Fi Thriller,Leon,bats,Ned Bellamy,1556 2766 5155 10563 176256 176262 176266 251926
Caroline Link,Juliane Köhler,Biography Drama,Merab Ninidze,nowhere in africa,Matthias Habich,697 1625 1956 3061 3510 4555 4932 5809 156702 187056 192519
Steve McQueen,Nicole Beharie,Drama,Michael Fassbender,shame,James Badge Dale,242 445 5906 14522 18314 190388 240485
Matthew Vaughn,Sally Hawkins,Crime Drama Thriller,Tom Hardy,layer cake,Jamie Foreman,212 818 1930 1941 2149 2150 2235 2708 3045 3149 3152 3391 9826 14766 14819 15219 34117 207268 243801
Sterling Van Wagenen,Eric Johnson,Drama Western,Emily Podleski,the work and the glory ii: american zion,Brenda Strong,818 1157 40865 156166 185455 196911 207928 243959
Zal Batmanglij,Julia Ormond,Drama Thriller,Alexander Skarsgård,the east,Jason Ritter,3271 9826 41501 156388 221911 221913
Michael Mayer,Matt Frewer,Drama Romance,Robin Wright,a home at the end of the world,Sissy Spacek,740 818 11130 46959 154937 266959
Hans Petter Moland,Sara-Marie Maltha,Drama,Charlotte Rampling,aberdeen,Stellan Skarsgård,567 2150 5600 7312 10183 10909
Oren Moverman,Yaya DaCosta,Drama Romance War,Steve Buscemi,the messenger,Eamonn Walker,9928 10183 10814 13065 15087 158480 212835
Ian Sharp,Jed Brophy,Action Adventure Drama Western,Ray Winstone,tracker,Temuera Morrison,
Anton Corbijn,Samantha Morton,Biography Drama Music,Sam Riley,control,Alexandra Maria Lara,968 1279 1605 1944 4183 4470 4741 4746 5716 6027 10183 34094 41591
James Cameron,Brian Thompson,Action Sci-Fi,Michael Biehn,the terminator,Paul Winfield,83 310 526 679 1280 1366 1373 4565 12670 15483 33556 162484 253388
Wolfgang Becker,Chulpan Khamatova,Drama Romance,Florian Lukas,good bye lenin!,Burghart Klaußner,211 292 318 697 732 1157 1772 1773 1774 9457
Tom Hooper,Mark Bazeley,Biography Drama Sport,Stephen Graham,the damned united,Maurice Roëves,1228 5215 5565 5858 6075 9180 11343 13042 166096 187264 187265 192345 240113
Dan O'Bannon,Clu Gulager,Comedy Horror Sci-Fi,Linnea Quigley,the return of the living dead,Beverly Randolph,1227 2452 4470 6129 10327 12377 41603 155619 157892 207492 207891 224636 234040 254747
Kevin Smith,Jason Mewes,Comedy Romance,Ethan Suplee,mallrats,Joey Lauren Adams,4325 8631 41175 157690 162296 168033 171329 171343 171346 179430
Randal Kleiser,Stockard Channing,Musical Romance,Olivia Newton-John,grease,Sid Caesar,391 542 795 830 3687 4344 6270 9823 10104 10181 18005 18453 34130 164246 165132 165136 165137 165139 165143 165147 165148 165154 208611 239531
Oliver Stone,Tom Berenger,Drama War,Johnny Depp,platoon,Kevin Dillon,1701 1960 2957 5331 10787 13065 14643 15240 18543
Michael Moore,Stevie Wonder,Documentary Drama War,Osama bin Laden,fahrenheit 9/11,Ricky Martin,840 1242 4743 5174 5939 6086 161304
George Roy Hill,Ted Cassidy,Biography Crime Drama Western,Katharine Ross,butch cassidy and the sundance kid,Kenneth Mars,1560 3228 3230 10562 10950 156120 160799 171795 220650 222934
Robert Stevenson,Glynis Johns,Comedy Family Fantasy Musical,Ed Wynn,mary poppins,Elsa Lanchester,212 380 818 970 1505 2341 2343 4344 18035 175910 209220 210184 211559 214831 272733
Robert Redford,Elizabeth McGovern,Drama,Adam Baldwin,ordinary people,Judd Hirsch,447 520 894 1252 6071 9872 10041 15106 33720 172291
Jerome Robbins,George Chakiris,Crime Drama Musical Romance Thriller,Rita Moreno,west side story,Richard Beymer,100 542 699 797 2124 2356 3306 3691 4344 9823 9932 10131 10181 18087 33699 159278 160367 165100 165212 165214
Harold Ramis,Rodney Dangerfield,Comedy Sport,Bill Murray,caddyshack,Brian Doyle-Murray,271 952 2702 3508 6075 10683 14514 14601 15228 172466 177993
Gary Hardwick,Tatyana Ali,Comedy Drama,Julie Benz,the brothers,Jenifer Lewis,74 380 2132 4175 10453 12995 179430 207928 241848
Rick Famuyiwa,Tamala Jones,Comedy Drama Romance,Omar Epps,the wood,Richard T. Jones,
Bryan Singer,Chazz Palminteri,Crime Drama Mystery Thriller,Kevin Spacey,the usual suspects,Kevin Pollak,242 3703 5493 9856 11734 14604 15009 18023 18024 158022 184312 207268 263443
Stephen Hopkins,Kelly Jo Minter,Fantasy Horror Romance Thriller,Lisa Wilcox,a nightmare on elm street 5: the dream child,Matthew Borlenghi,745 1009 1299 1566 2884 3030 3725 6152 6506 10629 13006 17985 170383 207884 220348
Walt Becker,Curtis Armstrong,Comedy Romance,Ryan Reynolds,van wilder: party liaison,Erik Estrada,3616 10081 155556 171183 171184 171192 171197 171198 171199 215404
Darren Aronofsky,John D'Leo,Drama Sport,Mark Margolis,the wrestler,Ajay Naidu,586 1545 1786 3734 5600 5970 6075 6593 10155 10232 11246 11431 11436
King Vidor,Lillian Gish,Drama Romance Western,Joseph Cotten,duel in the sun,Jennifer Jones,5301 5905 13078 18035 34079 183528
Christopher Guest,Catherine O'Hara,Comedy,John Michael Higgins,best in show,Michael McKean,276 1245 2589 6879 11800 15162 158225 158228 166926
John Carpenter,Adrienne Barbeau,Action Sci-Fi,Donald Pleasence,escape from new york,Tom Atkins,444 542 840 1543 1562 1930 2019 2095 3149 4565 4668 5034 12190 34117 217083
Spike Lee,Ossie Davis,Comedy Drama Musical,Tisha Campbell-Martin,school daze,Bill Nunn,2076 4344
Fred Savage,Brian Doyle-Murray,Comedy Family,Lochlyn Munro,daddy day camp,Tamala Jones,271 1158 5569 5767 6437 9823 10786
Sammo Kam-Bo Hung,Richard Norton,Action Comedy Crime,Sammo Kam-Bo Hung,mr. nice guy,Rachel Blakely,
Christopher Guest,Christopher Guest,Comedy Music,Michael McKean,a mighty wind,Laura Harris,11800 33534
Donald Petrie,Lili Taylor,Comedy Drama Romance,Julia Roberts,mystic pizza,Conchata Ferrell,10809 169276 169280 169283
Peter Howitt,Kevin McNally,Comedy Drama Fantasy Romance,Jeanne Tripplehorn,sliding doors,John Lynch,848 1004 3817 3983 4379 8034 175629
Rusty Cundieff,Clarence Williams III,Comedy Horror Thriller,Corbin Bernsen,tales from the hood,David Alan Grier,378 516 529 796 2394 9706 9707 9826 10700 11719 160322
Kevin Macdonald,Simon McBurney,Biography Drama History Thriller,David Oyelowo,the last king of scotland,Abby Mukiibi Nkaaga,407 409 818 1228 1402 1583 1930 2487 2613 4529 6750 6751 7404 7606 12995 13005 14819 214682 235395 268986
Dominique Othenin-Girard,Tamara Glynn,Horror Thriller,Donald Pleasence,halloween 5,Troy Evans,798 3875 9663 10059 11040 12339 15106 15127 156143 156392 156525 162538 164218
Richard Linklater,Brandon Smith,Comedy Crime Drama,Matthew McConaughey,bernie,Rick Dial,1556 7377 9672 10123 10631 17989 156091 160321 160322 160511 163072 179011 179012 179014 179017 179022 179431 210608 239275
Ed Harris,Bud Cort,Biography Drama,John Heard,pollock,Amy Madigan,437 2679 3836 5565 5625 5918 7464 10183 13072 179874 207883 211869 256942
Risa Bramon Garcia,Dave Chappelle,Comedy Drama Romance,Janeane Garofalo,200 cigarettes,Gaby Hoffmann,613 14534 168346 187056
Brian Klugman,Bradley Cooper,Drama Mystery Romance Thriller,J.K. Simmons,the words,Olivia Wilde,180404 180405 180412 180413
Matt Piedmont,Adrian Martinez,Comedy Western,Will Ferrell,casa de mi padre,Luis E. Carazo,534 10291 18026 41612 179430 179431
Raymond De Felitta,Curtiss Cook,Comedy Drama,Ezra Miller,city island,Dominik García-Lorido,1328 2843 6593 6625 15234 34029 34094
John Michael McDonagh,Fionnula Flanagan,Comedy Crime Thriller,Don Cheadle,the guard,Wale Ojo,3070 4978 9717 236055
Deb Hagan,Alona Tal,Comedy,Drake Bell,college,Haley Bennett,738 3616 5490 5569 33648 157632 170209
Sofia Coppola,Kathleen Turner,Drama Romance,Kirsten Dunst,the virgin suicides,Scott Glenn,933 1228 18035 187056
Mark Herman,Annette Badland,Comedy Drama Music Romance,Jim Broadbent,little voice,Brenda Blethyn,456 970 2276 3769 5215 5600 5905 9180 9957 10183 10229 13001 156151 158086 158471
Zach Cregger,Windell Middlebrooks,Comedy Romance,Hugh M. Hefner,miss march,Raquel Alessi,2201 2389 7312 9639 179431
Zach Braff,Josh Gad,Comedy Drama,Jim Parsons,wish i was here,Michael Weston,10183 12399 18035 158988
Mark Tarlov,Dylan Baker,Comedy Drama Fantasy Romance,Sarah Michelle Gellar,simply irresistible,Lawrence Gilliard Jr.,1946 2081 9673 9970 18293 209102
John Cameron Mitchell,Miriam Shor,Comedy Drama Music Musical,John Cameron Mitchell,hedwig and the angry inch,Andrea Martin,108 10229 17975 33973 34117 165601 165606 165608 165612 165614 165615 165621
Sheldon Lettich,Ryan Bollman,Action Drama,Antoni Corone,only the strong,Todd Susman,
Jon Knautz,Monda Scott,Drama Horror Mystery Thriller,Rachel Alig,goddess of love,Alexis Kendra,
Billy Ray,Rosario Dawson,Drama History,Hayden Christensen,shattered glass,Cas Anvar,
David Atkins,Lynne Thigpen,Comedy Crime Drama Thriller,Chelcie Ross,novocaine,Polly Noonan,9826 14964 33780
Patrick Stettner,Tony Devon,Drama Thriller,Stockard Channing,the business of strangers,Frederick Weller,570 822 1002 3487 9748 14782
Sam Peckinpah,Warren Oates,Action Adventure Western,William Holden,the wild bunch,L.Q. Jones,240 642 801 1556 2940 6054 9812 10726 10950 13065 163671 189262 200286
Jonathan Levine,Aaron Yoo,Comedy Drama Romance,Mary-Kate Olsen,the wackness,Method Man,10683 10776 13088
Michael Crichton,Michael Elphick,Adventure Crime Drama Thriller,Lesley-Anne Down,the great train robbery,Pamela Salem,386 642 798 1560 1925 2849 7493 9503 18044 154802 156120 263548
Lynne Ramsay,Bryan Dick,Drama,Samantha Morton,morvern callar,Paul Popplewell,236 388 514 818 1545 12392 13028 187056 207317
Sylvio Tabet,Kari Wuhrer,Action Adventure Fantasy Sci-Fi,Michael Berryman,beastmaster 2: through the portal of time,Marc Singer,818 4379 9663 12371 18543 181213 191676 192913 197014 208009 234213
Rick Bieber,Kendrick Cross,Biography Drama Sport,Aidan Quinn,the 5th quarter,Sammy Nagi Njuguna,579 697 3739 5565 6075 6157 6269 8338 9672 10235 13063
Claude Chabrol,Nathalie Baye,Drama,Benoît Magimel,the flower of evil,Mélanie Doutey,1571 1660 4029 10329 155294 272385
Shana Feste,Zoë Kravitz,Drama Romance,Jennifer Ehle,the greatest,Cara Seymour,291 4344 5565 8747 9672 10216 12990 173276 207545 233736
Wayne Wang,Russell Wong,Drama History,Bingbing Li,snow flower and the secret fan,Ji-hyun Jun,3177 179431
Joey Lauren Adams,Diane Ladd,Drama Romance,Tim Blake Nelson,come early morning,Ritchie Montgomery,1010 2669 2864 4552 6946 15162 187056
Peter Cattaneo,Olivia Williams,Comedy Crime Romance,James Nesbitt,lucky break,Peter McNamara,
Fred Zinnemann,Jane Fonda,Drama,Meryl Streep,julia,Vanessa Redgrave,
S.R. Bindler,Scott Glenn,Comedy,Matthew McConaughey,"surfer, dude",Sarah Wright,5349 6075
Tony Kaye,Pat Buchanan,Documentary,Noam Chomsky,lake of fire,Bill Baird,
Greg Marcks,Barbara Hershey,Comedy Crime Drama,Henry Thomas,11:14,Shawn Hatosy,567 642 1328 1419 1546 2016 3713 5638 6149 8015 9826 14541 200460
Perry Lang,Kevin Tighe,Action Drama Thriller,Catherine Bell,men of war,Tim Guinee,1293 2041 3070 10183 10787
Jake Goldberger,M. Emmet Walsh,Drama Mystery Thriller,Pruitt Taylor Vince,don mckay,Robert Wahlberg,10183
Stefan Ruzowitzky,Olivia Wilde,Crime Drama Thriller,Charlie Hunnam,deadfall,Sissy Spacek,380 9104 9826 10562 10718 18035 156064 159707 193305 206687 206701 206718 207112
Vic Sarin,Aidan Quinn,Drama Family,Connie Nielsen,a shine of rainbows,John Bell,2041 13014 158063 158688
William Kaufman,Sean Cook,Action Thriller,Drew Waters,the hit list,Cole Hauser,
David Cronenberg,Leslie Carlson,Horror Mystery Sci-Fi Thriller,Debbie Harry,videodrome,Reiner Schwarz,236 2340 2449 3298 3586 3740 4227 4563 4565 6255 6373 12400 34117 193594 254053 254054
Cédric Klapisch,Cécile De France,Comedy Drama,Romain Duris,l'auberge espagnole,Iddo Goldberg,90 107 567 1253 9457 9935 9986 12105 14534 14602 33648 155939
Kate Barker-Froyland,Shawn Parsons,Drama Music,Anne Hathaway,song one,Li Jun Li,187056
Martin Koolhoven,Tygo Gernandt,Drama History War,Yorick van Wageningen,winter in wartime,Martijn Lakemeier,1199 1442 1956 207883 241982 254255
Charles Matthau,Michael Jai White,Comedy Crime Thriller,Billy Burke,freaky deaky,Bill Duke,167342 191959 191960
John Frankenheimer,Paul Scofield,Thriller War,Jeanne Moreau,the train,Michel Simon,90 254 1956 2652 4655 5375 5552 5918 9904 10663 14789 156031
Christopher M. Bessette,John Billingsley,Drama Thriller,Mira Sorvino,trade of innocents,Trieu Tran,
Prachya Pinkaew,Nathan Jones,Action Crime Drama Thriller,Jon Foo,the protector,Johnny Nguyen,818 3088
Gary Sinyor,Frank Finlay,Comedy,Sean Pertwee,stiff upper lips,Samuel West,131 8250 14712
Gurinder Chadha,Parminder Nagra,Comedy Drama Romance Sport,Archie Panjabi,bend it like beckham,Anupam Kher,212 941 1463 1900 2274 2278 6075 13042 18035 158718 187056 266601
John Sayles,Edie Falco,Drama Romance,Miguel Ferrer,sunshine state,Timothy Hutton,10183
Preston A. Whitmore II,Wayne Brady,Action Sport,Wesley Jonathan,crossover,Eva Marcille,542 577 6075 8635
Ashish R. Mohan,Mithun Chakraborty,Action Comedy,Asin,khiladi 786,Johnny Lever,
Jaume Balagueró,Pablo Rosso,Horror,Jonathan D. Mellor,[rec] 2,Andrea Ros,3684 4035 156174 156788 159287 160194 160195 163053
Stewart Raffill,Alexis Biesiada,Musical,Kayla Jackson,standing ovation,Kayla Raparelli,
George Roy Hill,Robert Shaw,Comedy Crime Drama,Eileen Brennan,the sting,Ray Walston,520 622 643 1522 3202 6220 9728 14819 167411 167424 167428 167431 214548
Hugh Hudson,Ben Cross,Biography Drama Sport,Alice Krige,chariots of fire,John Gielgud,240 388 440 795 835 1627 1919 1924 2070 3044 3734 6075 9672 206206 208820
Darren Grant,Kimberly Elise,Comedy Drama Romance,Cicely Tyson,diary of a mad black woman,Tamara Taylor,
Scott Hicks,Armin Mueller-Stahl,Biography Drama Music Romance,Noah Taylor,shine,Nicholas Bell,3344 3810 5561 5565 5657 14743 33484 191815 207592
Joseph Gordon-Levitt,Scarlett Johansson,Comedy Drama Romance,Joseph Gordon-Levitt,don jon,Tony Danza,445 586 5906 9835 18314 33432 33451 33611 188993 244137
Clint Eastwood,Richard Bull,Mystery Western,Clint Eastwood,high plains drifter,John Hillerman,75 1333 9503
Terry Zwigoff,Steve Buscemi,Comedy Drama,Scarlett Johansson,ghost world,T.J. Thyne,9717 18005 171556 175492 175494 175497 175499 175506 175510 175514 179430
Richard Eyre,Jim Broadbent,Biography Drama Romance,Kate Winslet,iris,Kris Marshall,
William Sachs,Avery Schreiber,Comedy Sci-Fi,Stephen Macht,galaxina,Angelo Rossitto,803 1365 1612 3290 3385 3801 9673 9755 9882 9951 14735 33611 205740 222915 233155
Christophe Barratier,François Berléand,Drama Music,Jean-Baptiste Maunier,the chorus,Gérard Jugnot,2797 9673 163070 164623 191205 240315
Émile Gaudreault,Luke Kirby,Comedy Drama,Paul Sorvino,mambo italiano,Claudia Ferri,700 725 924 970 1329 1605 1862 2554 10181 18035 156195 192519 264384 266959
James Cox,Louis Lombardi,Crime Drama Mystery Thriller,Alexis Dziena,wonderland,Franky G,977 1566 2011 2860 159312 191102 246466
Spike Lee,John Savage,Drama,Ruby Dee,do the right thing,Danny Aiello,242 577 700 796 898 1463 3261 3772 3910 4305 4470 4630 4668 4733 4735 9673 10594 12425 41509 41523 221227
James Toback,Eric Stoltz,Comedy Crime Drama Romance Thriller,Sarah Michelle Gellar,harvard man,Joey Lauren Adams,395 3616 6496 10391 14964
Aki Kaurismäki,Kati Outinen,Comedy Drama,Jean-Pierre Léaud,le havre,Jean-Pierre Darroussin,577 972 7950 12987 15120 15162 33699 34013 34014 41316 167234 168867 182068 191026 192555 207057 236626 238385
Gaspar Noé,Albert Dupontel,Crime Drama Mystery Thriller,Philippe Nahon,irreversible,Jo Prestia,90 549 570 2754 4728 6093 6149 9673 9748 14624 14707 14819 14964 156075 156478 184352 224663
Hitoshi Matsumoto,Hitoshi Matsumoto,Comedy Drama,Lindsay Kay Hayward,r100,Shinobu Terajima,7089 158713
Rakeysh Omprakash Mehra,Steven Mackintosh,Comedy Drama History Romance,Anupam Kher,rang de basanti,Madhavan,1627 5246 7947 10683 12105 33648 156024 256215
Collin Schiffli,John Heard,Drama,Kim Shaw,animals,David Dastmalchian,818 970 1562 9748 9856 10163 13028 14646 14893 155251 167542 169878 209121
George Ratliff,Cree Kelly,Action Comedy Drama Thriller,Jim Gaffigan,salvation boulevard,Mike Eshaq,1499 4636 10706 11001
David Wain,Ken Marino,Comedy Romance,Jon Hamm,the ten,Ron Silver,488 536 1160 2618 2831 2856 3036 6917 11001 11704 157894 186756 186939 194195 254680
Shane Meadows,Paddy Considine,Comedy Drama,Bob Hoskins,a room for romeo brass,Shane Meadows,4951 6054 10587
Morten Tyldum,Synnøve Macody Lund,Crime Drama Thriller,Aksel Hennie,headhunters,Julie R. Ølgaard,233 9682 231485 238318
Jon Wright,Richard Coyle,Comedy Horror Sci-Fi Thriller,Russell Tovey,grabbers,Bronagh Gallagher,1299 14985 40879 185650
Michael McGowan,Adam Butcher,Comedy Drama Sport,Campbell Scott,saint ralph,Gordon Pinsent,732 2618 6075 18068 34125 207948
Liv Ullmann,Jessica Chastain,Drama Romance,Samantha Morton,miss julie,Colin Farrell,128 9673 33493 187056 207928
Jeannot Szwarc,Bill Erwin,Drama Fantasy Romance,Teresa Wright,somewhere in time,George Voskovec,4379 10965 210184
Rohan Sippy,Bipasha Basu,Action Crime Drama Thriller,Abhishek Bachchan,dum maaro dum,Prateik,7090 33067 33088
James Wan,Barbara Hershey,Fantasy Horror Thriller,Lin Shaye,insidious: chapter 2,Leigh Whannell,3358 9712 15001 18035 162846 206571
