movie_title,recommend,
capote,"['auto focus', 'moneyball', 'big eyes', 'steve jobs', 'the last station', 'can you ever forgive me?', 'kill the messenger', 'saving mr. banks', 'a dangerous method', 'a most wanted man', 'owning mahowny', 'red dragon', 'girl interrupted', 'patch adams', 'extremely wicked shockingly evil and vile', 'the most hated woman in america', 'heavenly creatures', 'flawless', 'bronson', 'one night with the king', 'escape from alcatraz']",
desperado,"['once upon a time in mexico', 'con air', 'from dusk till dawn', 'grindhouse', 'machete kills', 'bandidas', 'killer elite', 'reservoir dogs', 'the quick and the dead', 'jackie brown', 'righteous kill', 'run all night', 'el mariachi', 'death sentence', 'sicario: day of the soldado', 'spy kids 3-d: game over', 'faster', 'proud mary', 'the jackal', 'the gunman', 'the replacement killers']",
logan's run,"['transformers', 'megiddo: the omega code 2', 'terminator genisys', 'battlefield earth', 'resident evil: afterlife', 'terminator salvation', 'the island', 'transformers: the last knight', 'serenity', 'after earth', 'transformers: age of extinction', 'zoom', 'battle for the planet of the apes', 'def-con 4', 'destiny', 'fortress', 'the saint', 'sky captain and the world of tomorrow', 'mad max', 'transformers: revenge of the fallen', 'mad max: fury road']",
the man with the golden gun,"[""on her majesty's secret service"", 'you only live twice', 'live and let die', 'from russia with love', 'for your eyes only', 'dr. no', 'diamonds are forever', 'goldfinger', 'the living daylights', 'mission: impossible - rogue nation', 'the world is not enough', 'triple threat', 'alex rider: operation stormbreaker', 'tomorrow never dies', 'the spy who loved me', 'charlie and the chocolate factory', 'sherlock holmes: a game of shadows', 'sherlock holmes', 'unleashed', 'gemini', 'bangkok dangerous']",
action jackson,"['exit wounds', 'beverly hills cop', 'stone cold', 'freaky deaky', 'free fire', 'beverly hills cop ii', ""charlie's angels"", 'bad boys ii', 'rush hour 3', 'rush hour 2', 'stuber', 'bad boys', 'the man who knew too little', 'hollywood homicide', 'predator', 'gone in sixty seconds', 'tango & cash', 'loaded weapon 1', 'taxman', 'beverly hills cop iii', 'formula 51']",
the descent,"['the cave', 'kill list', 'sanctum', 'anacondas: the hunt for the blood orchid', 'silent hill: revelation 3d', 'centurion', 'white noise 2: the light', 'exeter', 'breakdown lane', 'halloween', 'blonde ambition', 'vampire killers', 'supernova', 'eight below', 'book of shadows: blair witch 2', 'black rock', 'extinction: nature has evolved', 'vertical limit', 'dreamcatcher', 'a lonely place to die', '47 meters down']",
michael jordan to the max,"[""who's your caddy?"", 'space jam', 'caddyshack', 'roger & me', 'never back down 2: the beatdown', 'the mars generation', 'wordplay', 'the game of their lives', 'bowling for columbine', 'the monuments men', 'slacker uprising', 'beyond the mat', 'the other dream team', 'batman & bill', 'kingpin', 'sicko', 'the greatest game ever played', 'murderball', 'the color of money', 'get low', 'air bud']",
devil's due,"['ready or not', 'phoenix forgotten', 'savageland', 'unfriended: dark web', 'escape room', 'as above so below', 'let me in', 'paranormal activity 4', 'apollo 18', 'diary of the dead', 'windsor drive', 'graduation day', 'the relic', 'cloverfield', 'alien zone', 'the cure', 'get out', 'unfriended', ""winter's tale"", 'the forest', 'saw ii']",
flirting with disaster,"[""a dog's breakfast"", 'i heart huckabees', 'virgin territory', 'shark night 3d', 'cream', 'flushed away', 'accidental love', 'the adventures of ford fairlane', 'songcatcher', ""grandma's boy"", 'waking ned devine', 'ghost town', 'just married', 'youth in oregon', 'drone', 'scary movie 3', 'the three stooges', 'the crow', 'agent cody banks 2: destination london', 'hatchet', 'epic movie']",
the devil's rejects,"['house of 1000 corpses', 'the texas chainsaw massacre: the beginning', 'the lords of salem', 'untraceable', 'funny games', ""no man's land: the rise of reeker"", 'halloween 4: the return of michael myers', 'the strangers: prey at night', 'red dragon', 'the silence of the lambs', 'the purge: anarchy', 'brigham city', 'friday the 13th part viii: jason takes manhattan', 'frailty', 'jason goes to hell: the final friday', ""the devil's candy"", 'happy death day 2u', 'bad samaritan', 'dumb and dumber to', 'malevolence', 'infamous']",
dope,"[""losin' it"", 'the spectacular now', 'mid90s', 'our family wedding', 'high school musical 3: senior year', 'pride and glory', 'novocaine', 'inherent vice', 'freeway', 'youth in revolt', 'middle of nowhere', 'woman thou art loosed', 'set it off', 'bernie', 'the salon', 'project x', ""it's kind of a funny story"", 'harvard man', 'hustle & flow', 'brigham city', ""malibu's most wanted""]",
in too deep,"['half past dead', 'boiler room', 'alfie', 'exit wounds', 'romeo is bleeding', 'big trouble', 'faster', 'sea of love', 'veronica guerin', 'bad boys', 'pride and glory', 'secret in their eyes', 'kill the messenger', 'the departed', 'kill bill: vol. 2', 'the negotiator', 'collateral', 'jade', 'the infiltrator', ""big momma's house"", 'underclassman']",
house of 1000 corpses,"['the lords of salem', ""the devil's rejects"", 'halloween ii', 'hell fest', 'the dead undead', 'friday the 13th part viii: jason takes manhattan', 'resident evil: vendetta', 'jason goes to hell: the final friday', 'scary stories to tell in the dark', 'little big top', 'thirteen conversations about one thing', 'halloween: the curse of michael myers', 'stan helsing', 'halloween', 'the witch', 'the raking', 'repo! the genetic opera', 'the grudge 2', 'urban legend', 'solitude', 'doom']",
alien zone,"['gothika', 'the cloverfield paradox', 'itsy bitsy', 'area 51', '2:13', 'independence day: resurgence', 'alien', ""devil's due"", 'alien 3', 'independence daysaster', 'the raking', 'eye see you', 'legion', 'the awakening', 'dreamcatcher', 'against the ropes', ""don't be afraid of the dark"", 'countdown', 'lifeforce', 'boogeyman', ""rosemary's baby""]",
a serious man,"['dancer texas pop. 81', 'saint john of las vegas', 'defendor', 'down terrace', 'life during wartime', 'pain & gain', 'the weather man', 'steve jobs', 'the dangerous lives of altar boys', 'green book', ""god's not dead: a light in darkness"", 'the truman show', 'take me home tonight', 'dogma', 'girl 6', 'darling companion', 'there goes my baby', 'clerks ii', 'fifty shades of black', 'action point', 'inside llewyn davis']",
get low,"['cradle will rock', 'scrooged', 'aloha', 'random hearts', 'the grand budapest hotel', 'the good liar', 'wild things', 'the monuments men', 'i married a strange person!', 'st. vincent', 'the royal tenenbaums', 'the color of money', 'air bud', 'rushmore', 'a charlie brown christmas', 'lucky you', 'enough', 'the bodyguard', 'flash of genius', 'michael jordan to the max', 'extreme measures']",
warlock,"['warlock: the armageddon', 'the covenant', 'the craft', 'friday the 13th part iii', 'paranormal activity: the marked ones', 'the last witch hunter', 'an american haunting', 'vamps', 'x-men: days of future past', 'arachnophobia', 'hansel & gretel: witch hunters', 'dracula 2000', 'the lords of salem', 'the prophecy', 'breaking in', 'dragon wars: d-war', 'book of shadows: blair witch 2', 'the purge: election year', 'friday the 13th part 2', 'seventh son', 'texas rangers']",
beyond the lights,"['the secret life of bees', 'love & basketball', 'motherhood', 'the birth of a nation', 'return to me', 'an ideal husband', 'zipper', 'sugar town', 'take the lead', ""the caveman's valentine"", 'arbitrage', 'cadillac records', 'songcatcher', 'what they had', 'country strong', 'amadeus', 'nowhere boy', 'rock star', 'song one', 'sherrybaby', 'beyond the valley of the dolls']",
a single man,"['girl with a pearl earring', 'drive me crazy', 'the importance of being earnest', 'the outsiders', 'safety not guaranteed', 'a home at the end of the world', 'the happy prince', 'bridget jones: the edge of reason', ""the king's speech"", 'extraordinary measures', 'on chesil beach', 'what a girl wants', 'the railway man', 'about time', 'sense and sensibility', 'born on the fourth of july', ""winter's tale"", 'the city of your final destination', 'the lovely bones', ""you've got mail"", 'grace of monaco']",
the last temptation of christ,"['the passion of the christ', 'the color of money', 'the age of innocence', 'new york new york', 'never say never again', 'the aviator', 'mean streets', 'risen', 'gangs of new york', 'the departed', 'casino', 'raging bull', '11:14', 'lovely still', 'winter passing', 'closer to the moon', 'kundun', 'flame and citron', 'love jones', 'the last waltz', 'the operative']",
outside providence,"['in the land of women', 'summer catch', 'down to you', 'take me home tonight', 'the brothers mcmullen', 'elsa & fred', 'mean creek', 'love simon', 'wonder boys', ""it's kind of a funny story"", 'juno', 'harvard man', 'the rules of attraction', 'did you hear about the morgans?', 'jersey girl', 'anywhere but here', 'the object of my affection', 'damsels in distress', 'superbad', 'leatherheads', 'a thin line between love and hate']",
bride & prejudice,"['bend it like beckham', 'blinded by the light', ""it's a wonderful afterlife"", 'the other end of the line', 'kama sutra: a tale of love', 'good dick', 'veer-zaara', 'rang de basanti', 'bran nue dae', 'walking and talking', 'rock of ages', ""you've got mail"", 'school daze', 'the mirror has two faces', 'darling lili', 'a thin line between love and hate', 'saving face', 'paint your wagon', 'fame', 'how to deal', 'miracles from heaven']",
rabbit-proof fence,"['the 33', 'catch a fire', 'lawrence of arabia', 'the straight story', 'sweet country', 'woman in gold', 'in the heart of the sea', 'jindabyne', '55 days at peking', 'red dog', 'everest', 'the new world', 'mongol: the rise of genghis khan', 'the other boleyn girl', 'virgin territory', ""the king's speech"", 'a passage to india', 'into the wild', 'strangerland', '127 hours', 'two brothers']",
who's your caddy?,"['the replacements', '3 strikes', 'men with brooms', 'michael jordan to the max', 'mr 3000', 'tin cup', 'saint ralph', 'frat party', 'blue crush', 'money talks', 'the bad news bears', 'varsity blues', 'heartbreakers', 'play it to the bone', 'space jam', 'summer catch', 'ready to rumble', 'bobby jones: stroke of genius', 'see spot run', 'beer league', 'airborne']",
split second,"['the saint', 'robocop 3', 'the 6th day', 'the running man', 'batman: the dark knight returns part 2', 'megiddo: the omega code 2', 'the purge: election year', 'robocop', 'ghost in the shell', 'the dark tapes', 's.w.a.t.: under siege', 'pandorum', 'daybreakers', 'phantasm ii', 'proof of life', 'resident evil: apocalypse', 'resident evil: extinction', 'fortress', 'priest', 'chappie', 'the toxic avenger part ii']",
the other side of heaven,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']",
veer-zaara,"['kabhi alvida naa kehna', 'bride & prejudice', ""neal 'n' nikki"", 'the other end of the line', 'the magic flute', 'burlesque', 'fame', 'the last five years', 'my name is khan', 'rent', 'high school musical 2', 'rang de basanti', 'tubelight', 'rock of ages', 'high school musical 3: senior year', 'show boat', ""mo' better blues"", 'anastasia', 'step up 3d', 'from justin to kelly', 'bran nue dae']",
redbelt,"['disturbia', 'the game of their lives', 'resurrecting the champ', 'home run', 'play it to the bone', 'to save a life', 'the manchurian candidate', 'chappie', 'the fighter', 'the 5th quarter', 'bobby jones: stroke of genius', 'days of thunder', 'chariots of fire', 'we are marshall', 'mr 3000', 'supercross', 'the greatest game ever played', 'underdogs', 'the rocket: the legend of rocket richard', 'fight to the finish', 'any given sunday']",
cyrus,"['the puffy chair', 'baghead', 'safety not guaranteed', 'black rock', 'jeff who lives at home', 'darling companion', 'the object of my affection', 'drinking buddies', 'hits', 'celeste & jesse forever', 'the story of us', 'due date', 'the pallbearer', 'high school musical 3: senior year', 'frances ha', 'chasing amy', 'aloha', 'little black book', 'peaceful warrior', 'trust the man', 'permission']",
a dog of flanders,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']",
auto focus,"['capote', 'goodfellas', 'hoffa', 'steve jobs', 'wildlife', 'kill the messenger', 'a dangerous method', 'big eyes', 'blackkklansman', 'extremely wicked shockingly evil and vile', 'the most hated woman in america', 'the last station', 'bronson', 'lords of dogtown', 'one night with the king', 'escape from alcatraz', 'papillon', 'freedom writers', ""what's love got to do with it"", 'the postman always rings twice', ""it's all gone pete tong""]",
factory girl,"['casino jack', 'country strong', 'the greatest story ever told', 'the hustler', 'the infiltrator', 'basquiat', 'the age of innocence', 'outside providence', 'mean creek', 'the doors', 'party monster', 'selena', 'judy', 'new york stories', 'flash of genius', '90 minutes in heaven', 'in the land of women', 'can you ever forgive me?', 'life as a house', 'patton', 'the walk']",
we need to talk about kevin,"['you were never really here', 'morvern callar', 'the negotiator', 'forrest gump', 'berlin syndrome', 'funny games', 'before i fall', 'the in crowd', 'zipper', 'show me', 'tomato red', 'the last king of scotland', 'our kind of traitor', 'civil brand', 'the darkest minds', 'labor day', 'unforgettable', 'the bone collector', 'flight', ""the caveman's valentine"", 'fifty dead men walking']",
the christmas candle,"['christmas mail', 'mr. turner', 'all or nothing', 'the christmas bunny', 'the santa clause', 'the rookie', 'how green was my valley', 'bathory: countess of blood', 'a shine of rainbows', 'bitter harvest', 'playing with fire', 'reindeer games', 'the karate kid', 'amigo', ""it's a wonderful life"", 'open secret', 'dreamer: inspired by a true story', 'morvern callar', 'how the grinch stole christmas', 'the tigger movie', 'black nativity']",
the mighty macs,"['play it to the bone', 'the game of their lives', 'we are marshall', 'grand theft parsons', 'tin cup', 'saint ralph', 'against the ropes', 'goal! the dream begins', 'draft day', 'juwanna mann', 'chasing mavericks', 'resurrecting the champ', 'lovely still', 'coach carter', 'the bad news bears', 'love & basketball', 'hoop dreams', 'peaceful warrior', 'high flying bird', 'semi-pro', 'the fan']",
losin' it,"['high school musical 3: senior year', 'the book of love', 'dope', 'high school musical', 'jerry maguire', 'bandslam', 'a cinderella story', 'mamaboy', 'beverly hills chihuahua', 'the battle of shaker heights', 'flower', 'mooz-lum', 'fair haven', 'we bought a zoo', '17 again', 'my girl', '3 men and a baby', 'high school musical 2', 'the adventures of huck finn', 'the outsiders', 'toy story 4']",
mother and child,"['adore', 'nine', 'the book of henry', ""what to expect when you're expecting"", 'albert nobbs', 'the glass castle', 'birdman or (the unexpected virtue of ignorance)', 'lage raho munna bhai', 'dream house', 'the international', 'j. edgar', 'st. vincent', 'tadpole', 'king kong', 'fair game', 'remember me', 'admission', 'the perez family', 'bless the child', 'the impossible', 'chocolat']",
march or die,"['arn: the knight templar', 'bitter harvest', 'flyboys', 'boom town', 'cold mountain', 'the musketeer', 'the last of the mohicans', 'mississippi mermaid', 'beyond borders', 'the horseman on the roof', 'the bridge on the river kwai', 'earth', 'tycoon', 'australia', 'i dreamed of africa', 'lost in florence', 'a very long engagement', 'forgetting sarah marshall', 'the perfect wave', 'sands of iwo jima', 'the hunting party']",
les visiteurs,"['just visiting', 'teenage mutant ninja turtles iii', 'men in black 3', 'the specials', 'bad kids of crestview academy', ""bill & ted's bogus journey"", 'cloudy with a chance of meatballs 2', 'muppets from space', 'heartbeeps', 'ghostbusters', 'aliens in the attic', 'hot tub time machine 2', 'barbarella', 'mamaboy', 'cream', 'journey 2: the mysterious island', 'zathura: a space adventure', 'g-force', 'looney tunes: back in action', 'hot tub time machine', 'black knight']",
somewhere,"['action point', 'the virgin suicides', 'chuck & buck', 'real women have curves', 'clockwatchers', 'tanner hall', 'obvious child', 'walter', 'marie antoinette', 'the beguiled', 'motherhood', 'election', 'bran nue dae', 'walking and talking', 'sugar town', 'deidra & laney rob a train', ""you've got mail"", 'thomas and the magic railroad', 'because of winn-dixie', 'i think i love my wife', 'for here or to go?']",
i hope they serve beer in hell,"['catch-22', 'a million little pieces', 'the opposite sex', 'the players club', 'saving silverman', 'the wedding date', 'magic mike xxl', 'l!fe happens', 'crazy rich asians', 'magic mike', 'fifty shades darker', 'the other guys', 'to die for', ""my best friend's girl"", 'can you ever forgive me?', ""she's out of my league"", 'bachelorette', 'spider-man: into the spider-verse', 'hustlers', 'outside bet', 'frat party']",
chairman of the board,"['the deported', 'the other end of the line', ""what's the worst that could happen?"", 'vamps', 'blonde ambition', 'foodfight!', 'love ranch', 'nutty professor ii: the klumps', 'the flintstones in viva rock vegas', 'alpha and omega', 'waiting for guffman', 'the lost skeleton of cadavra', 'kiss kiss bang bang', 'the three stooges', 'the ridiculous 6', ""breakin' all the rules"", 'blue like jazz', 'dream with the fishes', 'hickey', 'legally blonde', 'brüno']",
hesher,"['don jon', '10 things i hate about you', 'stop-loss', 'the juror', 'cold mountain', 'super', 'lincoln', 'lucy in the sky', 'miracle at st. anna', 'premium rush', 'the walk', 'i can do bad all by myself', 'anywhere but here', 'shotgun stories', '50/50', '500 days of summer', 'latter days', 'closer', 'trance', 'the shack', 'looper']",
dom hemingway,"['the matador', ""barney's version"", 'can you ever forgive me?', 'the longest day', 'tora! tora! tora!', 'people i know', 'slacker', 'hayride', ""what's the worst that could happen?"", ""where'd you go bernadette"", 'hudson hawk', 'hannibal rising', 'mrs. winterbourne', 'stone cold', 'solitary man', 'wah-wah', 'in cold blood', 'owning mahowny', '16 blocks', 'the newton boys', 'the little vampire']",
the heart of me,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']",
freeheld,"['raising victor vargas', 'against the ropes', 'shangri-la suite', ""nick and norah's infinite playlist"", 'hope springs', 'supercross', 'burlesque', 'prefontaine', 'seeking a friend for the end of the world', 'crazy stupid love.', 'the fault in our stars', 'aimee & jaguar', 'the best of me', 'fifty shades of grey', 'girl with a pearl earring', 'philomena', 'a walk to remember', 'dead poets society', 'the incredible burt wonderstone', 'bobby jones: stroke of genius', 'saint john of las vegas']",
the extra man,"['american splendor', 'deconstructing harry', 'clueless', 'duets', 'boynton beach club', 'obvious child', 'walking and talking', 'the last big thing', 'the jimmy show', ""i love you don't touch me!"", 'the perez family', 'the brothers mcmullen', 'a night at the roxbury', 'the incredibly true adventure of two girls in love', 'good dick', ""your sister's sister"", 'good intentions', 'the hebrew hammer', 'the living wake', 'little big top', 'sunshine cleaning']",
hard to be a god,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']",
ca$h,"['stealing harvard', 'paparazzi', 'the ladykillers', 'jersey girl', 'chuck & buck', 'mad money', 'formula 51', 'striptease', 'cecil b. demented', 'the black dahlia', 'flawless', 'money talks', 'snake eyes', 'legend', 'faithful', 'the matador', 'the cottage', '2 guns', 'blood and wine', 'agent cody banks', 'punch-drunk love']",
wah-wah,"['dom hemingway', 'a walk on the moon', ""angela's ashes"", 'on chesil beach', 'cradle will rock', 'driving lessons', 'the book thief', 'rocketman', 'hannibal rising', 'quinceañera', 'red dragon', 'hamlet', 'the last five years', 'churchill', 'the age of innocence', 'get carter', 'the theory of everything', 'punch-drunk love', 'can you ever forgive me?', 'miss potter', 'living out loud']",
the boondock saints,"['the boondock saints ii: all saints day', 'cellular', 'maximum risk', 'premium rush', 'triple 9', 'rush hour 2', 'the sentinel', 'deuces wild', 'snakes on a plane', 'four brothers', 'the international', 'unleashed', '16 blocks', 'a man apart', 'contraband', 'free fire', 'the glimmer man', 'pandorum', 'blue streak', 'the fast and the furious', 'jack reacher']",
z storm,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']",
twixt,"['peggy sue got married', ""bram stoker's dracula"", 'what lies beneath', 'the haunted mansion', 'the conversation', 'vampire in brooklyn', 'vampire killers', 'dylan dog: dead of night', 'death becomes her', 'dark shadows', 'lady in white', 'queen of the damned', 'scooby-doo 2: monsters unleashed', 'the mortal instruments: city of bones', 'hail caesar!', 'the lost boys', 'housebound', 'winchester', 'let me in', 'my name is bruce', 'bubba ho-tep']",
snow queen,"['puss in boots', 'toy story 3', 'the nut job', 'frozen ii', ""legends of oz: dorothy's return"", 'inkheart', 'valiant', 'thunder and the house of magic', 'smurfs: the lost village', 'the dragon spell', 'shrek forever after', 'the smurfs 2', ""dragon nest: warriors' dawn"", 'rugrats in paris: the movie', 'underdogs', 'return to never land', 'zambezia', 'the secret life of pets 2', 'lilo & stitch', ""happily n'ever after"", ""madagascar 3: europe's most wanted""]",
alpha and omega 4: the legend of the saw toothed cave,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']",
pale rider,"['high plains drifter', 'space cowboys', 'unforgiven', 'firefox', 'gran torino', 'the mule', 'absolute power', 'blood work', 'the bridges of madison county', 'a fistful of dollars', 'million dollar baby', ""hang 'em high"", 'paint your wagon', 'flags of our fathers', 'the good the bad and the ugly', 'hereafter', 'jersey boys', 'richard jewell', 'j. edgar', 'midnight in the garden of good and evil', 'the 15:17 to paris']",
stargate: the ark of truth,"['race to witch mountain', 'justice league', 'man of steel', 'highlander: endgame', 'the omega code', 'doom', 'moontrap: target earth', 'the amazing spider-man 2', 'star trek into darkness', 'zathura: a space adventure', 'power rangers', 'independence day: resurgence', 'destiny', 'interstellar', 'men in black 3', 'independence daysaster', 'rakka', 'i am number four', 'star wars: episode iii - revenge of the sith', 'mission to mars', 'independence day']",
dazed and confused,"['boyhood', 'slacker', 'the wackness', 'the hebrew hammer', 'school of rock', 'dom hemingway', 'hot summer nights', 'high school musical 3: senior year', 'superbad', 'a walk to remember', 'zoolander 2', 'booksmart', ""where'd you go bernadette"", 'detroit rock city', 'love simon', 'fast times at ridgemont high', 'edtv', 'how to lose a guy in 10 days', 'zoolander', 'sleepover', 'shooting the warwicks']",
high school musical 2,"['high school musical', 'high school musical 3: senior year', 'bandslam', 'descendants 2', 'hannah montana: the movie', ""marilyn hotchkiss' ballroom dancing and charm school"", 'rock of ages', 'hairspray', 'annie', 'coyote ugly', 'burlesque', 'fame', 'the lizzie mcguire movie', 'the last five years', 'a cinderella story', 'duets', ""mo' better blues"", ""neal 'n' nikki"", 'black nativity', ""nick and norah's infinite playlist"", 'the sisterhood of the traveling pants']",
two lovers and a bear,"['snow angels', ""she's the one"", 'all the real girls', 'sunshine state', 'partition', 'adore', 'molly', 'once', 'did you hear about the morgans?', 'the magic flute', 'poetic justice', 'christmas mail', ""alexander's ragtime band"", 'first love last rites', 'better luck tomorrow', 'yesterday was a lie', '1 night', 'fifty shades freed', 'four christmases', 'keeping the faith', 'romance & cigarettes']",
criminal activities,"['machine gun mccain', 'el camino: a breaking bad movie', 'gangster squad', 'eye for an eye', 'knockaround guys', '10th & wolf', 'run all night', 'city of tiny lights', 'you kill me', 'the matador', 'pickings', 'disturbia', 'blood ties', 'civil brand', 'the departed', 'kiss of death', 'suspect zero', 'paparazzi', 'my son', 'pride and glory', 'machine gun preacher']",
aimee & jaguar,"['the incredibly true adventure of two girls in love', 'adam resurrected', 'the railway man', 'the monuments men', 'the book thief', 'bitter harvest', 'a hidden life', 'fateless', 'freeheld', 'unbroken', 'i served the king of england', 'the best years of our lives', 'the boy in the striped pajamas', 'disobedience', 'their finest', 'the pianist', 'fury', 'lion of the desert', 'doctor zhivago', 'henry v', 'judgment at nuremberg']",
the chumscrubber,"['igby goes down', 'the lucky ones', 'friday', 'saved!', ""she's the one"", 'sunshine state', 'the salon', 'dream with the fishes', 'the next best thing', 'animal house', 'wristcutters: a love story', 'welcome to the dollhouse', 'the rules of attraction', 'a thousand words', 'the ladies man', 'the second best exotic marigold hotel', 'peaceful warrior', 'partition', 'trust the man', 'cyrus', 'obvious child']",
shade,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']",
house at the end of the street,"['a family man', 'the wolfman', 'the canyons', 'dreamcatcher', 'riddick', 'amityville: the awakening', 'the lazarus effect', 'red sparrow', 'the gunman', 'the first purge', ""felicia's journey"", 'darling companion', 'sleep tight', 'a plague so pleasant', 'we own the night', 'the beaver', 'the vatican tapes', '#horror', 'lake mungo', 'fabled', 'baghead']",
incendies,"['a very long engagement', 'coriolanus', 'waltz with bashir', 'prisoners', 'brokedown palace', 'sicario', 'the quiet american', 'the return', 'in the land of blood and honey', 'the standoff at sparrow creek', 'lion of the desert', 'lady in the water', 'courage under fire', 'high life', 'the flowers of war', 'edge of darkness', 'city of life and death', 'michael clayton', 'the color purple', 'the in crowd', 'the secret in their eyes']",
remember me my love,"['seven pounds', 'playing for keeps', 'aloha', 'little black book', 'darling companion', 'trust the man', 'cyrus', 'permission', 'book club', 'dog days', 'the pursuit of happyness', ""he's just not that into you"", 'welcome home roscoe jenkins', 'molly', 'the family stone', ""madea's family reunion"", 'the names of love', 'summer storm', 'lage raho munna bhai', 'the other end of the line', 'walking and talking']",
perrier's bounty,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']",
elite squad,"['training day', 'traffic', 'harper', 'robocop', 'harley davidson and the marlboro man', 'the french connection', 'paparazzi', 'the protector', 'dum maaro dum', '7 days in entebbe', 'homefront', 'tango & cash', 'the international', 'unleashed', 'the losers', 'stone cold', 'american heist', 'el camino: a breaking bad movie', 'gangster squad', '16 blocks', 'colombiana']",
annabelle,"['the conjuring 2', 'the nun', 'bride of chucky', ""child's play"", 'insidious: the last key', 'the conjuring', 'seed of chucky', 'annabelle comes home', 'the haunted mansion', 'hide and seek', 'lights out', ""child's play 2"", 'the curse of la llorona', ""child's play"", 'something wicked', 'deliver us from evil', 'scrooged', 'urban legends: final cut', 'exorcist ii: the heretic', 'the haunting in connecticut 2: ghosts of georgia', 'insidious: chapter 2']",
bran nue dae,"['deidra & laney rob a train', 'school daze', 'sunday school musical', 'annie', 'saving face', 'fame', 'bride & prejudice', 'the last five years', 'slums of beverly hills', 'the producers', 'the tigger movie', 'stick it', 'black nativity', 'real women have curves', 'clockwatchers', 'high school musical 2', 'rock of ages', 'high school musical 3: senior year', 'duets', ""neal 'n' nikki"", 'obvious child']",
boyz n the hood,"[""get rich or die tryin'"", 'open secret', ""malibu's most wanted"", 'menace ii society', 'poetic justice', 'friday', 'amigo', '2 fast 2 furious', 'machine gun mccain', 'hustle & flow', 'baby boy', 'do the right thing', 'hide and seek', 'midnight cowboy', 'playing with fire', '8 mile', 'four brothers', 'in cold blood', 'freeze frame', 'oh hello: on broadway', 'dark blue']",
la bamba,"['de-lovely', 'nowhere boy', 'selena', 'the doors', ""i'm not there."", 'jersey boys', 'day one', 'get on up', 'florence foster jenkins', 'topsy-turvy', 'the soloist', 'battle of the year', 'flash of genius', 'beyond the sea', ""what's love got to do with it"", ""get rich or die tryin'"", 'saving mr. banks', 'duets', ""mo' better blues"", 'shine', 'big eyes']",
