movie_title,recommend
date movie,"['epic movie', 'american wedding', 'fifty shades of black', 'my stepmother is an alien', 'ira & abby', 'starsky & hutch', 'disaster movie', 'get over it', 'scary movie 4', 'youth in revolt', 'meet the spartans', 'american pie', ""my best friend's girl"", 'license to wed', 'my big fat greek wedding 2', 'barfi', 'bedtime stories', 'boys and girls', ""he's just not that into you"", 'our family wedding', 'naked gun 33 1/3: the final insult']"
return to never land,"['dragon hunters', 'hook', 'the croods', 'Sherlock Gnomes', 'stuart little 2', 'garfield 2', 'the neverending story', ""happily n'ever after"", 'alvin and the chipmunks: chipwrecked', 'the princess bride', 'the brave little toaster', 'the cat in the hat', 'How to Train Your Dragon: The Hidden World', ""legends of oz: dorothy's return"", 'thunder and the house of magic', 'Smurfs: The Lost Village', 'The Dragon Spell', 'shrek forever after', 'the smurfs 2', 'the scorpion king', ""dragon nest: warriors' dawn""]"
selma,"[""lee daniels' the butler"", 'middle of nowhere', 'malcolm x', 'red tails', 'saving mr. banks', 'the conspirator', 'A Wrinkle in Time', 'born on the fourth of july', 'beloved', '55 days at peking', 'oscar and lucinda', 'copying beethoven', 'the 33', 'legend', 'Fair Haven', 'girl with a pearl earring', 'jefferson in paris', 'On the Basis of Sex', 'valkyrie', 'the last king of scotland', 'coco before chanel']"
the jungle book 2,"['the country bears', ""legends of oz: dorothy's return"", 'rio 2', 'the jungle book', 'rio', 'winnie the pooh', 'the tigger movie', 'Despicable Me 3', 'the rugrats movie', 'the brave little toaster', 'jonah: a veggietales movie', 'How to Train Your Dragon: The Hidden World', 'happy feet 2', 'the secret life of pets', 'Smurfs: The Lost Village', 'anastasia', 'the muppets', 'Ralph Breaks the Internet', 'annie', ""dragon nest: warriors' dawn"", 'secondhand lions']"
boogeyman,"['soul survivors', 'after.life', 'the call of cthulhu', '#horror', 'lake mungo', 'fabled', 'the last exorcism part ii', 'something wicked', 'abandon', 'regression', 'eye see you', 'all good things', 'the haunting in connecticut 2: ghosts of georgia', ""Aaron's Blood"", ""Jacob's Ladder"", 'mary reilly', 'the reaping', 'get carter', 'Berlin Syndrome', 'Crawl', 'the i inside']"
premonition,"['what lies beneath', 'nine dead', 'in too deep', 'flightplan', 'boiler room', 'birth', 'soul survivors', 'the glass house', 'raising helen', 'the sixth sense', 'the in crowd', 'mooz-lum', 'hide and seek', 'disturbia', 'love jones', 'dragonfly', 'suspect zero', 'don mckay', '#horror', 'lake mungo', 'fabled']"
the tigger movie,"['winnie the pooh', 'the rugrats movie', 'bran nue dae', 'the magic sword: quest for camelot', 'jonah: a veggietales movie', 'brave', 'happy feet 2', 'thomas and the magic railroad', 'christmas mail', 'Nancy Drew and the Hidden Staircase', 'Playing with Fire', 'the jungle book 2', 'cars', ""a bug's life"", 'annie', 'ernest & celestine', ""the emperor's new groove"", 'legend of kung fu rabbit', 'bride & prejudice', '1776', 'yogi bear']"
orphan,"['Orphan', 'red riding hood', 'unknown', 'The Commuter', 'non-stop', 'house on haunted hill', 'the amityville horror', 'the shallows', 'run all night', 'urban legends: final cut', 'insidious', 'texas chainsaw 3d', 'The Haunting of Sharon Tate', 'hostage', 'tales from the crypt: demon knight', 'the mortal instruments: city of bones', 'sleep tight', 'the cure', 'silent hill: revelation 3d', 'red state', 'house of wax']"
max,"['mad max', 'mad max 2: the road warrior', 'torque', 'the purge: election year', 'city of ember', 'the rookie', 'mad max: fury road', 'benji', ""logan's run"", 'ladder 49', 'the young and prodigious t.s. spivet', 'mad max beyond thunderdome', 'the chronicles of riddick', 'are we there yet?', 'Mortal Engines', 'the road', 'ice age: dawn of the dinosaurs', 'titan a.e.', 'the rugrats movie', 'the princess bride', 'wall·e']"
epic movie,"['disaster movie', 'date movie', 'meet the spartans', 'scary movie 4', 'fifty shades of black', 'starsky & hutch', 'Johnny English Strikes Again', 'virgin territory', 'vampires suck', 'strange wilderness', 'ira & abby', 'flushed away', 'chicken little', 'an american carol', 'get over it', ""a dog's breakfast"", 'Fast & Furious Presents: Hobbs & Shaw', 'inspector gadget', 'hits', 'Diary of a Wimpy Kid: The Long Haul', 'lilo & stitch']"
spotlight,"['bronson', 'legend', 'The Two Popes', 'the conspirator', 'without limits', 'the 33', 'blood ties', 'veronica guerin', 'compliance', 'appaloosa', 'Backstabbing for Beginners', 'catch me if you can', 'saving mr. banks', 'henry v', 'On the Basis of Sex', 'woman in gold', 'in cold blood', 'milk', 'i love you phillip morris', 'bully', 'knockaround guys']"
lakeview terrace,"['ladder 49', 'kill the messenger', 'harper', '10th & wolf', 'righteous kill', 'takers', 'nowhere to run', 'el mariachi', 'money train', 'city by the sea', 'in dreams', 'godsend', 'Small Crimes', 'mean streets', 'nurse betty', 'hide and seek', 'the crying game', 'Lizzie', 'blood ties', 'machine gun mccain', 'civil brand']"
the grudge 2,"['the grudge', 'i spit on your grave', 'i know what you did last summer', 'disturbia', 'scooby-doo 2: monsters unleashed', 'harvard man', 'final destination 2', 'scooby-doo', 'surfer, dude', 'veronika decides to die', 'Black Christmas', 'simply irresistible', 'existenz', 'antiviral', 'Winchester', 'dream house', 'return of the living dead iii', 'an american haunting', ""happily n'ever after"", 'cruel intentions', 'the wolfman']"
how stella got her groove back,"['guess who', 'barbershop 2: back in business', 'little black book', 'dom hemingway', 'the other end of the line', 'walking and talking', 'living out loud', 'how do you know', 'did you hear about the morgans?', 'jersey girl', 'sands of iwo jima', 'sphere', 'mrs. winterbourne', 'man of the year', 'solitary man', 'sex and the city 2', 'the hunting party', 'fame', 'the last five years', 'a good year', 'p.s. i love you']"
bill & ted's bogus journey,"['bogus', ""bill & ted's excellent adventure"", 'muppets from space', 'teenage mutant ninja turtles iii', 'lost in space', 'zoom', 'destiny', 'men in black 3', 'terminator genisys', 'aqua teen hunger force colon movie film for theaters', 'x-men: days of future past', 'heartbeeps', 'the omega code', 'a sound of thunder', 'robots', 'aliens in the attic', 'barbarella', 'les visiteurs', 'the borrowers', 'clockstoppers', 'journey 2: the mysterious island']"
man of the year,"['baby mama', 'mean girls', 'what just happened', 'admission', 'patch adams', 'envy', 'good morning, vietnam', 'house of d', 'death to smoochy', 'the invention of lying', 'wag the dog', 'swing vote', 'peeples', 'bandits', 'a thin line between love and hate', 'mrs. doubtfire', 'the american president', 'diner', 'I Feel Pretty', 'primary colors', 'deuce bigalow: male gigolo']"
the black hole,"['lost in space', 'automata', 'stargate: the ark of truth', 'Moontrap: Target Earth', 'Firebase', 'terminator genisys', 'sky captain and the world of tomorrow', 'spy kids', 'Rakka', 'silent running', 'aliens', ""logan's run"", 'world war z', 'starship troopers', 'surrogates', 'supernova', 'impostor', 'the ice pirates', 'the omega code', 'planet of the apes', 'red planet']"
the american,"['the gunman', 'payback', 'a most wanted man', 'a thin line between love and hate', 'adulterers', 'young guns', 'ninja assassin', 'wanted', 'righteous kill', 'run all night', 'street fighter: the legend of chun-li', 'the specialist', 'max payne', 'dead man down', 'jimmy and judy', ""the devil's own"", 'broken city', 'prison', 'irreversible', 'kiss of the dragon', 'dirty pretty things']"
selena,"['de-lovely', 'nowhere boy', 'heaven is for real', 'the doors', 'step up 3d', 'jersey boys', 'la bamba', 'get on up', 'florence foster jenkins', 'rosewater', 'topsy-turvy', 'Rocketman', 'the soloist', 'the 33', 'the last station', ""mozart's sister"", 'million dollar arm', 'battle of the year', 'flash of genius', 'beyond the sea', ""what's love got to do with it""]"
vampires suck,"['vampires', 'meet the spartans', 'disaster movie', 'epic movie', 'napoleon dynamite', 'a haunted house', 'scary movie 5', ""trippin'"", '21 jump street', 'bolt', 'not another teen movie', 'high school musical 3: senior year', 'clerks ii', 'fifty shades of black', 'the walking deceased', 'the duff', 'spy hard', ""dude, where's my car?"", 'stan helsing', 'The Book of Love', 'Eat Locals']"
babel,"['amores perros', 'by the sea', 'mr. & mrs. smith', '21 grams', 'Ad Astra', 'jersey girl', 'biutiful', 'true romance', 'stomp the yard', 'the counselor', 'The Sense of an Ending', ""the devil's own"", 'legends of the fall', 'the curious case of benjamin button', 'the quiet', 'fury', 'sinbad: legend of the seven seas', 'doctor zhivago', 'War Machine', 'meet joe black', 'birdman or (the unexpected virtue of ignorance)']"
this is where i leave you,"['Book Club', 'georgia rule', 'the hundred-foot journey', 'man of the year', 'eulogy', 'admission', 'mean girls', 'baby mama', 'the second best exotic marigold hotel', 'real steel', 'the invention of lying', 'happy christmas', 'monster-in-law', 'anywhere but here', 'thomas and the magic railroad', 'wish i was here', ""Where'd You Go, Bernadette"", 'cheaper by the dozen', 'four christmases', 'mrs. winterbourne', 'tristram shandy: a cock and bull story']"
doubt,"['happiness', 'red dragon', 'florence foster jenkins', 'next stop wonderland', 'patch adams', 'the ides of march', 'synecdoche, new york', 'open secret', 'capote', 'cold mountain', 'flawless', 'hide and seek', 'there goes my baby', 'august: osage county', 'a most wanted man', 'owning mahowny', 'one true thing', 'atlas shrugged ii: the strike', 'The Laundromat', 'yesterday was a lie', 'hope springs']"
team america: world police,"['orgazmo', 'south park: bigger longer & uncut', 'Despicable Me 3', 'an ideal husband', 'the birth of a nation', 'johnny english reborn', 'imagine me & you', 'now is good', 'barnyard', 'detention', 'men with brooms', 'the incredibly true adventure of two girls in love', 'Mamma Mia! Here We Go Again', 'tank girl', 'the importance of being earnest', 'The Happytime Murders', 'around the world in 80 days', 'kung pow: enter the fist', 'hobo with a shotgun', 'The Spy Who Dumped Me', 'red tails']"
texas chainsaw 3d,"['urban legends: final cut', 'the texas chain saw massacre', 'the texas chainsaw massacre 2', 'the crazies', 'feast', 'friday the 13th part 2', 'dead snow', 'orphan', 'the collection', 'the looking glass', 'the texas chainsaw massacre: the beginning', 'red riding hood', 'vampires', 'hide and seek', 'Escape Plan: The Extractors', 'red state', 'Happy Death Day 2U', 'Ralph Breaks the Internet', 'Zombieland: Double Tap', 'rush hour 2', 'halloween 5']"
copycat,"['suspect zero', 'basic', 'along came a spider', 'red riding: in the year of our lord 1974', 'righteous kill', 'mindhunters', 'American Violence', 'the firm', 'made', '88 minutes', 'hostage', 'sea of love', 'nine dead', 'zodiac', 'secret in their eyes', ""the caveman's valentine"", 'the protector', 'kill the messenger', 'sphere', 'kiss the girls', 'hannibal rising']"
scary movie 5,"['soul men', 'undercover brother', 'meet the spartans', 'hoodwinked too! hood vs. evil', 'vampires suck', 'the best man holiday', 'vampires', 'not another teen movie', 'Guardians of the Galaxy Vol. 2', 'clerks ii', 'fifty shades of black', 'Action Point', 'pitch perfect 2', 'Ralph Breaks the Internet', 'Zombieland: Double Tap', 'starsky & hutch', 'me, myself & irene', 'welcome home, roscoe jenkins', 'the master of disguise', 'macgruber', 'election']"
paint your wagon,"[""she's gotta have it"", 'high plains drifter', 'unforgiven', 'the ballad of cable hogue', 'welcome home, roscoe jenkins', 'the bridges of madison county', 'jersey boys', 'school daze', 'darling lili', 'gran torino', 'fame', 'bride & prejudice', 'the apartment', 'the last five years', 'celeste & jesse forever', 'she done him wrong', 'The Mule', 'absolute power', 'pale rider', 'shortbus', 'ride with the devil']"
milk,"['dallas buyers club', 'In Dubious Battle', ""Don't Worry, He Won't Get Far on Foot"", 'The Front Runner', 'Bohemian Rhapsody', 'the imitation game', 'bloody sunday', 'the 33', 'bronson', 'Tom of Finland', 'one night with the king', 'the theory of everything', 'Boy Erased', 'Dolemite Is My Name', 'winnie mandela', 'saving mr. banks', 'jefferson in paris', 'Beautiful Boy', 'On the Basis of Sex', 'zodiac', 'goodfellas']"
risen,"['arn: the knight templar', 'rapa nui', 'the count of monte cristo', 'exodus: gods and kings', ""winter's tale"", 'end of days', 'zoom', 'the chronicles of narnia: prince caspian', 'robin hood: prince of thieves', 'Samson', 'the book of eli', 'kingdom of heaven', 'the passion of the christ', 'The Case for Christ', 'world war z', 'master and commander: the far side of the world', 'the postman', 'son of god', 'allegiant', 'fled', 'noah']"
ghost ship,"['From a House on Willow Street', 'thir13en ghosts', 'friday the 13th part 2', 'the midnight meat train', 'hellraiser', 'the incredible burt wonderstone', 'ed and his dead mother', 'her cry: la llorona investigation', 'the texas chainsaw massacre: the beginning', 'stan helsing', 'welcome to collinwood', 'the texas chainsaw massacre 2', 'zombieland', 'supercross', 'the crocodile hunter: collision course', 'saw iii', 'jason lives: friday the 13th part vi', 'the great debaters', 'antwone fisher', 'friday the 13th: the final chapter', 'The Domestics']"
a very harold & kumar 3d christmas,"['The Secret Life of Pets 2', 'unaccompanied minors', 'cars 2', 'harold & kumar go to white castle', 'clockstoppers', 'herbie fully loaded', ""we're the millers"", 'reno 911!: miami', 'last holiday', 'the family stone', 'the hangover part ii', 'fun size', 'the station agent', 'Smurfs: The Lost Village', 'home alone 2: lost in new york', ""Isn't It Romantic"", 'conversations with other women', 'Johnny English Strikes Again', 'the croods', 'free birds', 'how to lose a guy in 10 days']"
wild things,"['harper', 'hide and seek', 'get low', 'city by the sea', 'kill the messenger', 'the international', 'zero effect', 'sleepers', 'four brothers', 'out of time', 'eye for an eye', 'righteous kill', 'max payne', 'scrooged', 'trance', 'open secret', 'enough', 'machine gun mccain', 'mystic river', 'jack reacher', 'extreme measures']"
the stepfather,"['point blank', 'the fugitive', 'gone girl', 'the ladykillers', 'armored', 'get carter', 'wild card', 'trade', ""charlie's angels"", 'prom night', 'the last house on the left', 'the taking of pelham 1 2 3', '2 guns', 'the postman always rings twice', 'Widows', 'domestic disturbance', 'mad money', 'the departed', 'the in crowd', 'Black Christmas', 'freeway']"
the debt,"['shakespeare in love', 'the best exotic marigold hotel', 'brokedown palace', 'rocknrolla', 'The Circle', ""smilla's sense of snow"", 'the ghost and the darkness', 'hide and seek', 'valkyrie', 'machine gun mccain', 'the second best exotic marigold hotel', 'swimfan', 'Gotti', 'paparazzi', 'little boy', 'limbo', 'michael clayton', 'the exorcism of emily rose', 'flightplan', 'the international', 'the marine']"
high fidelity,"['florence foster jenkins', 'mystic pizza', 'mrs henderson presents', 'the good night', 'love ranch', 'step up 3d', 'my beautiful laundrette', 'jersey girl', 'shine', 'walk hard: the dewey cox story', 'coyote ugly', 'keeping the faith', 'drive me crazy', 'beyond the valley of the dolls', 'step up revolution', 'next stop wonderland', 'the break-up', 'mary reilly', 'shall we dance', 'drumline', 'bandslam']"
one missed call,"['from hell', 'darkness falls', 'the eye', 'silent house', 'the forest', 'night of the living dead', 'switchback', 'mirrors', 'transsiberian', 'premonition', 'the sixth sense', 'wild card', 'pulse', 'prom night', 'my bloody valentine', 'the grudge', 'the jacket', 'hide and seek', 'valentine', 'the ring two', ""the devil's tomb""]"
eye for an eye,"['albino alligator', 'you kill me', 'kiss of death', 'the matador', 'lost souls', 'machine gun mccain', 'illuminata', 'the sum of all fears', 'hide and seek', 'secret in their eyes', 'midnight run', 'freeze frame', ""smokin' aces"", 'red dragon', 'out of time', 'max payne', 'the gambler', 'bad words', 'open secret', 'Extremely Wicked, Shockingly Evil and Vile', 'american history x']"
the bank job,"['wild card', 'nine dead', 'el mariachi', 'parker', 'Extortion', 'victor frankenstein', 'transporter 2', 'the yards', 'snow falling on cedars', 'the next three days', 'in too deep', 'better luck tomorrow', '7 Days in Entebbe', 'homefront', 'safe', 'the losers', 'the bounty', 'a thin line between love and hate', 'zulu', 'out of time', 'sabotage']"
eternal sunshine of the spotless mind,"['vanilla sky', ""the time traveler's wife"", 'crazy/beautiful', 'about time', 'sense and sensibility', 'griff the invisible', 'heavenly creatures', 'Mamaboy', ""smilla's sense of snow"", 'phenomenon', 'Orbiter 9', 'the green hornet', 'the giver', 'the virgin suicides', 'yesterday was a lie', '1 Night', 'anastasia', 'beastly', ""freddy's dead: the final nightmare"", 'interview with the vampire: the vampire chronicles', 'the age of adaline']"
you again,"['beverly hills chihuahua', 'my girl', 'freaky friday', 'halloween: resurrection', 'christmas with the kranks', 'always woodstock', 'Halloween', 'the master of disguise', 'alpha and omega', 'the sweetest thing', 'peeples', 'for a good time, call...', 'Playing with Fire', 'the princess diaries 2: royal engagement', 'unaccompanied minors', 'parental guidance', ""she's gotta have it"", 'true lies', 'the game plan', 'ramona and beezus', 'drowning mona']"
street kings,"[""brooklyn's finest"", 'harsh times', ""river's edge"", 'Sicario: Day of the Soldado', 'the losers', 'underclassman', 'brick mansions', 'triple 9', 'cop land', 'righteous kill', 'the negotiator', 'exit wounds', 'harley davidson and the marlboro man', 'end of watch', 'death sentence', 'district b13', 'harry brown', 'jack reacher', 'premium rush', 'sea of love', 'i am wrath']"
the world's end,"['transformers', 'clockstoppers', 'men in black 3', 'tomorrowland', 'memoirs of an invisible man', 'zoom', 'the specials', 'teenage mutant ninja turtles ii: the secret of the ooze', 'the toxic avenger part ii', '2012', 'the saint', 'inspector gadget', 'megaforce', 'wild wild west', 'my favorite martian', 'megiddo: the omega code 2', 'hot fuzz', 'universal soldier: the return', 'gentlemen broncos', 'the ice pirates', 'grabbers']"
nancy drew,"['frequency', 'kiss the girls', 'jack reacher', 'the betrayed', 'nine dead', 'zero effect', 'red riding: in the year of our lord 1974', 'Middle Man', 'dylan dog: dead of night', 'the fugitive', 'all good things', 'freeway', 'inherent vice', 'a scanner darkly', 'john q', 'the trouble with harry', 'seven psychopaths', 'conspiracy theory', 'the mexican', 'in dreams', 'get shorty']"
daybreakers,"['hollow man', 'batman: the dark knight returns, part 2', 'megiddo: the omega code 2', 'priest', 'the purge: election year', 'pandorum', 'lifeforce', 'world war z', 'split second', 'the lazarus effect', 'phantasm ii', 'the 6th day', 'resident evil: apocalypse', 'resident evil: extinction', 'the running man', 'automata', 'jason x', 'blade: trinity', 'the saint', 'stake land', 'resident evil: afterlife']"
she's out of my league,"['hitch', 'did you hear about the morgans?', 'jersey girl', 'zack and miri make a porno', 'that awkward moment', 'next stop wonderland', 'l!fe happens', 'the back-up plan', 'the sisterhood of the traveling pants', 'extract', ""valentine's day"", 'i love you, man', 'soul men', '40 days and 40 nights', 'clerks ii', 'next day air', '16 to life', 'the nutty professor', 'enough said', ""he's just not that into you"", 'welcome home, roscoe jenkins']"
monte carlo,"['herbie fully loaded', 'the family stone', 'rugrats in paris: the movie', 'unaccompanied minors', 'the lizzie mcguire movie', 'cars 2', 'are we there yet?', 'the road to el dorado', 'george of the jungle', 'agent cody banks 2: destination london', 'beverly hills chihuahua', 'the best of me', 'the pallbearer', '17 again', 'agent cody banks', 'sinbad: legend of the seven seas', 'the prince and me', 'what a girl wants', 'alpha and omega', 'the mexican', 'my big fat greek wedding 2']"
stay alive,"['existenz', 'the devil inside', 'the prophecy', 'the boy', 'windsor drive', 'fabled', 'house on haunted hill', 'the last exorcism part ii', 'the signal', 'grindhouse', 'Insidious: The Last Key', 'the reaping', 'pulse', 'feardotcom', 'Escape Room', 'agent cody banks', ""Daniel Isn't Real"", 'wargames', 'silent house', 'nine dead', 'the last exorcism']"
quigley down under,"['robin hood: prince of thieves', 'george and the dragon', 'vertical limit', 'harley davidson and the marlboro man', ""one man's hero"", 'adore', 'texas rangers', 'exodus: gods and kings', 'the man from snowy river', 'the time machine', 'arn: the knight templar', 'sense and sensibility', 'the bounty', 'flyboys', '9', 'The Aeronauts', 'the legend of tarzan', 'boom town', 'The Babymoon', 'Feed', 'first knight']"
alpha and omega,"['The Emoji Movie', 'rugrats in paris: the movie', 'The Secret Life of Pets 2', 'you again', 'made of honor', 'ira & abby', 'foodfight!', 'are we there yet?', 'little black book', 'puss in boots', 'the road to el dorado', 'agent cody banks 2: destination london', 'the rugrats movie', 'hitch', 'the nut job', 'the other end of the line', 'sinbad: legend of the seven seas', 'happy feet 2', 'valiant', 'thunder and the house of magic', 'the adventures of elmo in grouchland']"
the covenant,"['The Covenant', 'warlock', 'the craft', 'warlock: the armageddon', 'prison', 'a nightmare on elm street 4: the dream master', 'freddy vs. jason', 'Vamps', 'dylan dog: dead of night', 'dracula 2000', '12 rounds', 'the lords of salem', 'the prophecy', 'the legend of hercules', 'dragon wars: d-war', 'mindhunters', 'book of shadows: blair witch 2', 'firestarter', 'severance', 'what lies beneath', ""cirque du freak: the vampire's assistant""]"
stick it,"['the mirror has two faces', 'any given sunday', 'for love of the game', 'play it to the bone', 'a league of their own', 'bran nue dae', 'cars', 'like mike', 'we are marshall', 'mr 3000', 'the open road', 'masked and anonymous', 'saving face', 'Carrie Pilby', 'bend it like beckham', 'how to deal', 'whip it', 'the hammer', 'tin cup', 'the perfect game', 'men with brooms']"
shorts,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']"
to die for,"[""Don't Worry, He Won't Get Far on Foot"", 'the postman always rings twice', 'madea goes to jail', 'the wedding date', 'promised land', 'character', 'next stop wonderland', 'the canyons', 'love ranch', 'super', 'Small Crimes', 'blue like jazz', 'dream with the fishes', 'notes on a scandal', 'focus', 'nurse betty', 'Can You Ever Forgive Me?', 'punisher: war zone', 'bad boys', 'the outsiders', 'the rules of attraction']"
nerve,"['allegiant', 'my soul to take', 'i am number four', 'the shadow', 'dylan dog: dead of night', 'insurgent', 'ballistic: ecks vs. sever', 'max payne', 'iBoy', 'hackers', 'paycheck', 'The Circle', 'the hunger games', 'pathology', 'the hunger games: mockingjay - part 1', 'divergent', 'escape plan', 'the 5th wave', 'atlas shrugged ii: the strike', 'escape from l.a.', 'memoirs of an invisible man']"
appaloosa,"['albino alligator', 'prison', 'bronson', 'a history of violence', 'the outsiders', 'love me tender', 'witness', 'paparazzi', 'deuces wild', 'the international', 'far from men', 'the newton boys', 'quigley down under', 'knockaround guys', 'the dead girl', 'snow angels', 'Speech & Debate', 'Light of My Life', 'perfume: the story of a murderer', 'dead man down', 'rocknrolla']"
vampires,"['vampires suck', 'halloween', 'showdown in little tokyo', 'the loved ones', 'elektra', 'feast', 'the art of war', 'rush hour 2', 'scary movie 5', 'safe', 'freddy vs. jason', 'unnatural', 'Vamps', 'dylan dog: dead of night', 'dracula 2000', 'the crazies', 'urban legends: final cut', 'planet of the apes', 'texas chainsaw 3d', 'blade: trinity', 'superhero movie']"
psycho,"[""Daniel Isn't Real"", 'hide and seek', 'harper', 'something wicked', 'insidious: chapter 3', 'urban legends: final cut', 'Insidious: The Last Key', 'the trouble with harry', 'devil', 'torn curtain', 'gothika', 'kingdom of the spiders', 'the cure', 'as above, so below', '10 cloverfield lane', 'topaz', 'rebecca', 'in the cut', 'the forest', '#horror', 'lake mungo']"
my best friend's girl,"['good luck chuck', 'employee of the month', 'our family wedding', ""anderson's cross"", 'bride wars', 'that awkward moment', 'friends with benefits', 'date movie', 'splash', 'a guy thing', 'Thick Lashes of Lauri Mäntyvaara', 'date night', 'i love you, man', 'the whole ten yards', 'my big fat greek wedding 2', 'barfi', 'leap year', ""he's just not that into you"", 'macgruber', 'did you hear about the morgans?', 'the sweetest thing']"
endless love,"['beastly', 'My Cousin Rachel', ""mao's last dancer"", 'After', 'dear john', 'romeo + juliet', 'exotica', 'elsa & fred', 'Little Women', 'the longest ride', 'little women', 'here on earth', 'one day', 'the postman always rings twice', 'the greatest', 'maurice', 'The Strange Ones', 'beautiful creatures', 'the sweet hereafter', 'thirteen days', 'summer catch']"
georgia rule,"['the princess diaries', 'the princess diaries 2: royal engagement', 'middle of nowhere', 'this is where i leave you', 'Book Club', 'runaway bride', 'pretty woman', 'four christmases', 'eulogy', 'diary of a wimpy kid: dog days', 'the brothers bloom', 'the spectacular now', 'raising helen', 'joe dirt', 'blue like jazz', 'high school musical 2', ""ulee's gold"", 'what a girl wants', 'trust the man', 'the life aquatic with steve zissou', 'the way way back']"
under the rainbow,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']"
ladyhawke,"['scrooged', 'dom hemingway', 'election', 'Wonder Park', 'thomas and the magic railroad', 'friday after next', 'the tale of despereaux', ""a bug's life"", 'inspector gadget', 'radio flyer', 'the little vampire', 'the twilight saga: new moon', 'george and the dragon', 'Sherlock Gnomes', 'stuart little 2', 'imagine that', 'aliens in the attic', 'teenage mutant ninja turtles iii', 'red sonja', 'crocodile dundee ii', 'toy story 2']"
simon birch,"['martian child', 'The Cleanse', 'pieces of april', 'please give', 'the salon', ""baby's day out"", 'what a girl wants', ""daddy's home"", 'darling companion', 'house of d', 'doctor dolittle', 'rush hour 3', 'ready to rumble', 'dancer, texas pop. 81', 'happy christmas', 'The Laundromat', 'the color purple', ""legends of oz: dorothy's return"", ""barney's version"", 'thomas and the magic railroad', 'because of winn-dixie']"
reign over me,"['hide and seek', 'black or white', 'punch-drunk love', 'rabbit hole', 'woman on top', 'jack and jill', 'funny people', 'jersey girl', 'poetic justice', 'happy gilmore', 'friday after next', ""alexander's ragtime band"", 'after the sunset', 'flightplan', 'blended', 'freeze frame', 'radio flyer', 'the guard', 'amigo', 'shooting the warwicks', 'top gun']"
into the wild,"['The Miracle Season', 'Lizzie', 'the perfect wave', 'the walk', 'erin brockovich', 'rosewater', 'race', 'the twilight saga: new moon', 'the blue butterfly', ""The King's Daughter"", 'steve jobs', 'antarctica: a year on ice', 'bronson', 'the twilight saga: eclipse', 'lincoln', 'the theory of everything', 'Seberg', 'flash of genius', 'big miracle', 'catch me if you can', 'saving mr. banks']"
school for scoundrels,"['Punching Henry', 'blades of glory', 'made', 'the benchwarmers', 'napoleon dynamite', 'heartbreakers', 'old school', 'starsky & hutch', 'christmas eve', 'the hangover part ii', '21 & over', 'legend of kung fu rabbit', 'Speech & Debate', 'due date', 'just like heaven', ""there's something about mary"", 'school of rock', 'the hangover', 'monster house', 'good intentions', 'surfer, dude']"
silent hill: revelation 3d,"['silent hill', 'lake mungo', 'white noise', 'max payne', ""Aaron's Blood"", 'the game', 'Vengeance: A Love Story', '88 minutes', 'Escape Room', '#horror', 'fabled', 'secret in their eyes', 'house on haunted hill', 'kill the messenger', 'the sisterhood of night', 'The Curse of La Llorona', 'circle', 'flightplan', 'something wicked', 'kill bill: vol. 2', 'the curse of downers grove']"
from dusk till dawn,"['desperado', 'once upon a time in mexico', 'grindhouse', 'bandidas', 'spy kids', 'the faculty', 'jackie brown', 'spy kids 3-d: game over', ""cirque du freak: the vampire's assistant"", 'twixt', 'machete', 'kill bill: vol. 2', 'dylan dog: dead of night', 'reservoir dogs', 'rubber', 'after the sunset', 'vampire in brooklyn', 'american heist', 'vampire killers', 'Vamps', 'dracula 2000']"
pooh's heffalump movie,"['x-men 2', 'the nutcracker in 3d', 'creepshow', 'grown ups 2', 'top cat begins', 'killers', 'dragon blade', 'xi you ji zhi: sun wukong san da baigu jing', 'the internship', 'dragonheart', 'walking tall', 'curious george', 'marmaduke', 'man of the house', 'pirate radio', 'the tooth fairy', 'fat albert', 'life or something like it', 'delgo', 'nomad: the warrior', 'the last shot']"
home for the holidays,"['little black book', 'lucky you', 'diner', 'two girls and a guy', 'due date', 'seeking a friend for the end of the world', 'charlie bartlett', 'fur: an imaginary portrait of diane arbus', ""it's complicated"", 'the beaver', 'summer storm', 'walking and talking', 'living out loud', ""you've got mail"", 'i think i love my wife', 'our idiot brother', 'enough said', 'tropic thunder', ""paris, je t'aime"", 'four christmases', 'bowfinger']"
